"School","Return_Start_Date","Return End Date","Date","Arrangements1","Arrangements2","Risk Assessment1","Risk Assessment2","Risk Assessment3","H&S Training1","H&S Training2","H&S Training3","H&S Training4","H&S Training5","Fire Drills1","Fire Drills2","PEEPS1","PEEPS2","PEEPS3","BU Owned Assets1","BU Owned Assets2","BU Owned Assets3","Incidents and Investigations1","Incidents and Investigations2","Incidents and Investigations3","Incidents and Investigations4","Monitoring Schedule1","Monitoring Schedule2","Monitoring Schedule3","Leadership walkarounds1","Leadership walkarounds2","Action Log1","Action Log2","Action Log3","Return_completed?","BU_arrangements_comments","RA_comment","H&S Training_5_confidence","Risk Assessment3_confidence","H&S_training_comments","fire_drills_comments","PEEPS_comments","assets_comments","incidents_comments","monitoring_comments","actions_comments"
"Business School","01/08/2025","31/01/2026","01/02/2026 00:00","26","26","53","53","100","262","88%","76%","100","80","3","3","0","0","0","0","0","0","0","2","0","2","3","35","35","1","0",,"0","0","True",,,"Quite Confident (61%-85%)",,"Staff training figures are supplied from the compliance dashboard, attendances up to 12/02/26.",,"HSC is only aware of staff PEEPS, of which we have none in place.","No assets hosted in the Allianz system. ",,"The Facilities team conducted a quarterly inspection in November, Full annual inspections are due in April 26.",
"Education","01/08/2025","31/01/2026","01/02/2026 00:00","25","25","6","6","80","164","75","67","100","80","1","1","0","0","0","0","0","0","0","5","0","5","1","8","8","1","1","[""Inspection"",""Audit"",""Housekeeping""]","4","4","True",,,"Very Confident (86%-100%)","Very Confident (86%-100%)","Staff training figures are supplied from the compliance dashboard, attendances up to 12/02/26.",,,,,"The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26.",
"Law","01/08/2025","31/01/2026","01/02/2026 00:00","1","1","6","6","80","103","68%","69%","73","80","1","1","0","0","0","0","0","0","0","0","0","0","1","9","9","1","1","[""Housekeeping"",""Inspection"",""Risk Assessment""]","0","0","True","BU arrangements are in place and up-to-date. There is an update cycle to ensure compliance.","Risk assessments are regularly undertaken and stored on the risk register. Please note some RAs on the register will be for one-off events and therefore do not require updating.

RAs for individual staff travel are stored on a Faculty system. To avoid duplication these are not on Law's register.","Quite Confident (61%-85%)","Quite Confident (61%-85%)","Staff training figures are supplied from the compliance dashboard, attendances up to 12/02/26.
",,"Awaiting new PEEPs policy. Unclear who should complete PEEP & complete drills - staff work across a wide number of buildings?","No assets hosted in the Allianz system.","No incident reported as per the University Incident Reporting System","The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26.","Some low-priority actions following building inspection. These are underway."
"Politics and IR","01/08/2025","31/01/2026","01/02/2026 00:00","22","22","5","5","90","65","75%","54%","80","90","1","1","1","1","1","0","0","0","1","1","0","1","1","8","8","1","1","[""RMS""]","0","0","True",,"Five risk assessments held for the school.  This does not include events.","Very Confident (86%-100%)",,"Staff training figures are supplied from the compliance dashboard, attendances up to 12/02/26.",,"One PEEP carried out for a member of staff in the school.","No assets hosted in the Allianz system.","One accident reported.  A student was injured at a weekend medieval society re-enactment in the Great Hall.  Security took the student to A&E and I met with them after the event to reported on the accident.","The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26.","There is one open action due to be completed 25.05.26"
"Rights Lab","01/08/2025","31/01/2026","01/02/2026 00:00","21","21","9","9","85","33","64%","61%","100","50","1","1","0","0","0","0","0","0","0","1","0","0","1","12","12","2","0","[""Risk Assessment""]","0","0","True","BU arrangements up to date - the BU Arrangements doc was last reviewed in December 2025. ","I think the general office working risk assessment needs to be updated to include issues with the water leaks in Highfield House (I have added this as an action in RMS). I have also added this to the agenda for the upcoming FoSS H&S Committee.","Somewhat Confident (36%-60%)","Quite Confident (61%-85%)","Staff training figures are supplied from the compliance dashboard up to 12/02/26.

Staff are provided with a list of mandatory training when joining the dept. HSC responsible for chasing for refresher courses when overdue. Room for improvement in dept training compliance. ","Fire drill completed in October 2025.","No staff require PEEPs within the BU. ","No assets hosted in the Allianz system.","1 accident occurred on 08/01/26 - ID no. 18929 in incident reporting system. The accident happened outside Highfield House (a member of staff slipped on an icy path). 

Investigations still open, but I have completed the investigation tab.","The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26.

Improvement needed for leadership walkarounds. ","1 outstanding medium action (not due until May 2026). Last action completed in May 2025. "
"Sociology","01/08/2025","31/01/2026","01/02/2026 00:00","23","23","7","7","100","103","64% ","47%","100","48","1 ","1 ","0","0","0","0","0","0","0","0","0","0","1","9","9","1","1",,"0","0","True","Number of arrangements in place is outlined in the Local (BU) HS Arrangements Doc.
",,"Somewhat Confident (36%-60%)","Very Confident (86%-100%)","Staff training figures are supplied from the compliance dashboard up to 28/01/26. these include staff in the Ann Craft trust.",,,"No assets hosted in the Allianz system.",,"The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26.",
"Geography","01/08/2025","31/01/2026","01/02/2026 00:00","33","33","293","92","90","81","83%","68%","100","100","1","1","1","0","0","0","0","0","0","3","2","5","2","12","12","1","1","[""Housekeeping"",""Inspection"",""Audit"",""RMS""]","0","0","True","The BU document is current and in date. It is due to be reviewed by the 25th July, 2026. ","We currently have 293 RA form in our spreadsheet since this record was started in 2024. Of these, 92 are ones that will need to be reviewed over the next 2 year period (the others are RAs for one-off trips and review is not needed). ","Very Confident (86%-100%)","Very Confident (86%-100%)","Staff training figures are supplied from the compliance dashboard, attendances up to 12/02/26.","Fire drill was undertaken in November 2025. ","I was notified today (13/2/26) that an UG student will require a temporary PEEP due to a personal injury. They have only just notified the DLO about this. A PEEP will be created for this student, but as this is in progress I have recorded the number of PEEPS in place as 0. ",,,"The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26 for office/communal areas.

Lab inspections are undertaken annually by the SoG HSC and senior management (including the safety office). ",
"HR","01/08/2025","31/01/2026","01/02/2026 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False",,,,,,,,,,,
"Estates","01/08/2025","31/01/2026","01/02/2026 00:00","37","36","357","310","85","1068","90","90","80","70","15","15","0","0","0","943","45","0","23","93","20","70","65","456","510","2","2","[""Housekeeping"",""Inspection"",""Incident Investigation"",""Audit"",""Risk Assessment"",""Committee"",""RMS""]","55","45","True","Number of relevant subjects (plus business unit specific subjects) ticked as relevant on most recent Arrangements document submitted to HSD. The 1 arrangement identified as 'un-reviewed' is stress management which will be reviewed once Stress Compliance Standard published.","Estimate of coverage and confidence rating based on various considerations, including; sample audit of risk assessments in summer 2024, HSD's current COSHH audit, HSRMS returns, outcome of HSE interventions (e.g. vibration, pesticide management, crypto).","Quite Confident (61%-85%)","Quite Confident (61%-85%)","Figures of 83% (H&S) and 82% (Fire) taken from Unicore analytics. Figures may not reflect all training delivered face to face as there is a lag between attendance and updating Unicore records. Actual figures understood to be 90%+.","Halls (14 of 14) and Trent (1 of 1).

Supported HSD fire drills (compliance week) of numerous other shared buildings with no defined owner - likely these will become Estates responsibility.",,"Note that need to compare HSD figures and data included in E&F's Monthly Estates Compliance Dashboard (produced by E&F Compliance Team) to understand if reporting is comparable and/or how it differs.","No. of incidents from IRS - includes injury/ill health incidents and near misses, as would require off-line/manual process to categorise each incident in IRS as near miss, etc. No. of investigations is no. of unclosed IRS records for same reason. No. of near miss from E&F near miss system. ","Monitoring varies reflecting wide variety of E&F activities. No single system, not all to a schedule, some only recorded locally, etc Numbers are totals delivered, inc. not to schedule, from systems where data readily retrievable (e.g. SafetyCulture), so indicative.","Several (UoN and E&F) processes in use, but no single log. Some don't enable reporting on actions (e.g. IRS) and/or categorise actions H/M/L and/or enable tracking of when due/completed. Numbers indicative from data readily retrievable, plus some reasonable manual/off-line processing."
"Clinical Skills","08/01/2025","31/1/2026","01/02/2026 00:00","25","25","18","16","95","10","10","7","100","70","0","0","0","0","0","16","1","0","0","11","0","11","11","143","130","1","1","[""Housekeeping"",""RMS""]","44","41","True",,,"Quite Confident (61%-85%)","Very Confident (86%-100%)","There are a number of training modules on Atlas that my team are yet to complete. The analytics page provides data on Medicine Central but not Clinical Skills.","Clinical Skills is based within the QMC who do not run fire drills.",,"The number of assets owned by Clinical Skills is higher than the number reported. Significant work has been undertaken to resolve this, but has not yet been achieved. The BU assets are likely reported via Medicine and Life Sciences as checks are completed.",,,"Outstanding items relate to estates request either for blocked urinal or faulty taps. NUHT no longer make these repairs for us despite multiple efforts to get them sorted. This has been escalated to UoN Campus service managers but no resolution has been put forward. "
"Finance and Infrastructure","08/01/2025","31/1/2026","01/02/2026 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False",,,,,,,,,,,
"Libraries","08/01/2025","31/1/2026","01/02/2026 00:00","27","27","79","77","90","213","97","95","100","85","8","2","3","3","0","0","0","0","0","11","3","13","11","11","11","8","0","[""Housekeeping"",""Inspection"",""Audit"",""Incident Investigation"",""Committee"",""RMS"",""Risk Assessment""]","9","6","True","Libraries follows the UoN processes for all of these topics. 
KMC leaseback details tbc and will require further review of lone working, fire, risk assessment and shared building arrangements.","79 Live RA's and related SOPs. Doesn't include those in progress. 
This number may be lower than previously because Learning Technologies are no longer part of the department. ","Quite Confident (61%-85%)","Very Confident (86%-100%)","The HR data dashboard doesn't reflect the changes from FN phase 1. I have included the data as provided. Learning Tech and Ed Excellence have now moved to DTS and the Educator Academy. 
There is a delay in training being available eg. Working at Height but it is available. ","8 library sites - 4 are under libraries sole management. ",,"Not applicable for Libraries",,"Inspection areas are based on pre-KMC decant and will change for the next period.
Leadership walkarounds are due to take place Jan/Feb 2026 but due to FN structure changes will be delayed until later into 2026","RMS actions and 1 incident investigation outcome for electrical safety and fire risk. "
"Sport","08/01/2025","31/1/2026","01/02/2026 00:00","27","27","56","4","86","98","90","70","90","36","3","3","0","0","0","40","0","0","0","13","2","13","1","0","1","1","1","[""Risk Assessment"",""RMS""]","0","0","True",,,"Somewhat Confident (36%-60%)","Very Confident (86%-100%)",,,,,,,
"Faculty Office","08/01/2025","31/1/2026","01/02/2026 00:00","21","21","4","4","100","32","78%","75%","80","80","1","1","0","0","0","0","0","0","0","0","0","0","1","7","7","1","1","[""RMS"",""Inspection"",""Housekeeping""]","0","0","True",,,"Quite Confident (61%-85%)","Very Confident (86%-100%)","Staff training figures are supplied from the compliance dashboard, attendances up to 12/02/26.",,,"No assets hosted in the Allianz system.",,"The Facilities team conducted a quarterly inspection in November; Full annual inspections are due in April 26.","All housekeeping and inspection checks are stored on the Faculty Health & Safety Inspections MS List, reminders are automated and sent to the responsible person to action/update."
"BSU","08/01/2025","31/1/2026","01/02/2026 00:00","32","32","26","26","100","21","100","100","100","95%","2","2","0","0","0","16","0","0","0","4","1","5","4","6","6","0","0","[""Housekeeping"",""Audit"",""Inspection"",""Risk Assessment"",""Committee"",""RMS"",""Other""]","11","11","True","Some topics up for review during this year, one completed Jan 26 ","BSU RA up to date and in place, PI and groups are responsible for their own Risk assessments when working within BSU spaces. ","Very Confident (86%-100%)","Very Confident (86%-100%)","78% completion on Atlas, however this is due to a new starter currently working their way through the training courses. Other training complete. ","Inotiv completed fire drill Dec 25 for 2 buildings. ",,,,"Leadership walkarounds not formalised, added to new H&S meeting agenda","39 actions complete including BSU internal H&S tracker. "
"Health Sciences","08/01/2025","31/1/2026","01/02/2026 00:00","12","12","7","7","100","190","92","92","100","25","0","0","1","1","0","0","0","0","0","10","0","10","1","0","0","0","0","[""RMS"",""Committee""]","2","2","False",,,"Not Confident (0%-35%)","Quite Confident (61%-85%)","Difficulties correlating data across Unicore and Atlas","Drills are managed and led by Faculty, supported by School. None are therefore allocated to the school",,,,,"High priority actions related to the need for a lone working process to be put in place - this has now been completed"
"Student & Public Facing Services","08/01/2025","31/1/2026","01/02/2026 00:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"False",,,,,,,,,,,
